target,probe,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_instructions.started,start_instructions.stopped,target_image.started,target_image.stopped,probe_image.started,probe_image.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ISI.started,ISI.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli/Featural_Set/f15.tif,stimuli/Featural_Set/f15.tif,s,0,0,0,0,11.053268318006303,None,12.467370875994675,12.959548788989196,12.959548788989196,13.159291493997443,s,1,2.499394054990262,13.12583688099403,None,0.20097270331461914,0.5009727033146192,m,001,2020_Sep_20_2106,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f142.tif,s,0,1,1,1,,,15.660990823991597,15.85935488299583,16.175974705984117,16.375920472986763,s,1,1.0122387100127526,16.34259660198586,None,0.2105477466539014,0.5105477466539015,m,001,2020_Sep_20_2106,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f24.tif,d,0,2,2,2,,,17.39431481799693,17.592630158993416,17.90927517900127,18.10944060399197,d,1,0.8287669499986805,18.075832714996068,None,0.2149050586449448,0.5149050586449448,m,001,2020_Sep_20_2106,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f24.tif,stimuli/Featural_Set/f15.tif,d,0,3,3,3,,,18.92576478200499,19.125712248991476,19.442459168989444,19.64390668598935,d,1,0.7547671729989816,19.610983527993085,None,0.2033303256612271,0.5033303256612272,m,001,2020_Sep_20_2106,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f15.tif,d,0,4,4,7,,,20.392161168012535,20.59278013400035,20.90922468600911,21.10941368000931,d,1,0.8640886140055954,21.07593683700543,None,0.2008431166759692,0.5008431166759693,m,001,2020_Sep_20_2106,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f24.tif,d,0,5,5,5,,,21.958752478996757,22.161055345990462,22.48994882099214,22.692767011991236,d,1,0.8449687600077596,22.644429992011283,None,0.2008854376617819,0.500885437661782,m,001,2020_Sep_20_2106,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f15.tif,d,0,6,6,4,,,23.509101625008043,23.710979955998482,24.039959552988876,24.242798552004388,d,1,0.8633393640047871,24.194250388012733,None,0.20409775266307406,0.5040977526630741,m,001,2020_Sep_20_2106,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f24.tif,stimuli/Featural_Set/f24.tif,s,0,7,7,6,,,25.07568542798981,25.27604238400818,25.592650603997754,25.794315770006506,s,1,0.8218954159819987,25.76170003300649,None,0.20320775866275653,0.5032077586627566,m,001,2020_Sep_20_2106,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f131.tif,s,0,8,8,8,,,26.627770944003714,26.826149417000124,27.14276679098839,27.342808615008835,d,0,1.0550167819892522,27.30948903199169,None,0.21504741968237795,0.515047419682378,m,001,2020_Sep_20_2106,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f131.tif,d,0,9,9,9,,,28.392469059006544,28.594300277007278,28.923240147007164,29.127655221003806,d,1,1.232918535999488,29.07603756801109,None,0.20128932266379707,0.5012893226637971,m,001,2020_Sep_20_2106,configural_featural,2020.2.4,None,
