target,probe,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_instructions.started,start_instructions.stopped,target_image.started,target_image.stopped,probe_image.started,probe_image.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ISI.started,ISI.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f131.tif,d,0,0,0,9,13.029456706019118,None,14.382144734991016,14.583791351004038,14.915130498993676,15.115404472016962,d,1,1.1444532879977487,15.082002750015818,None,0.7110773909953423,1.0110773909953423,m,001,2020_Sep_21_1701,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f15.tif,d,0,1,1,7,,,16.748719629016705,16.94897006699466,17.295813948003342,17.50066500500543,d,1,0.49789291102206334,17.449031397991348,None,0.7109262166486587,1.0109262166486588,m,001,2020_Sep_21_1701,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f24.tif,stimuli/Featural_Set/f24.tif,s,0,2,2,6,,,18.467382519011153,18.665733371017268,19.012529533007182,19.21573634701781,s,1,0.3848310759931337,19.167585898016114,None,0.7083826156740543,1.0083826156740543,m,001,2020_Sep_21_1701,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f15.tif,stimuli/Featural_Set/f15.tif,s,0,3,3,0,,,20.065789098996902,20.267223168018973,20.598420063994126,20.799025738000637,s,1,0.378520752012264,20.765808560012374,None,0.7005671756633092,1.0005671756633092,m,001,2020_Sep_21_1701,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f24.tif,d,0,4,4,2,,,21.649113694002153,21.849152412993135,22.195882386004087,22.400817282992648,d,1,0.6799159779911861,22.349266655015526,None,0.7012842996628024,1.0012842996628024,m,001,2020_Sep_21_1701,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f131.tif,s,0,5,5,8,,,23.53244893901865,23.73430245000054,24.065286533994367,24.265881825995166,d,0,0.4111824239953421,24.232487358007347,None,0.7065690016897861,1.0065690016897861,m,001,2020_Sep_21_1701,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f24.tif,stimuli/Featural_Set/f15.tif,d,0,6,6,3,,,25.150843390001683,25.365881203993922,25.681563157006167,25.884511328011286,s,0,2.964507323980797,25.85088541600271,None,0.7039759316539858,1.0039759316539858,m,001,2020_Sep_21_1701,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f142.tif,s,0,7,7,1,,,29.31748362700455,29.53251381200971,29.84876062499825,30.049264335015323,s,1,0.7205959150160197,30.015744877018733,None,0.7041017326409929,1.004101732640993,m,001,2020_Sep_21_1701,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f15.tif,d,0,8,8,4,,,31.250906681991182,31.465805371990427,31.78203292301623,31.98257719000685,d,1,0.7696862689917907,31.949253254017094,None,0.7008005336974747,1.0008005336974748,m,001,2020_Sep_21_1701,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f24.tif,d,0,9,9,5,,,33.24925163300941,33.44916567701148,33.79593010401004,33.99920449900674,d,1,1.516546152997762,33.950879871990765,None,0.7132000736601185,1.0132000736601185,m,001,2020_Sep_21_1701,configural_featural,2020.2.4,None,
