X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,prac_fix_resp.rt,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
,,,,,,,,,,,,,,,2,7,smallSincon,Stimuli/HofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,,,f,1,1.32201,,,,,,,,,,,,,,,0,,5,2,22,3,1,,,,,,,,,,
,,,,,,,,,,,,,,,2,3,smallHincon,Stimuli/SofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,,,j,1,1.06753,,,,,,,,,,,,,,,1,,5,3,23,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,3.41769,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,f,0,1.36011,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,1,2.568015,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,0,1.28302,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,j,0,1.57329,,,,,,,,,,,,,,,,,,,,,,1,0,4,3,1,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,0,1.60195,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,1,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,f,1,1.065665,,,,,,,,,,,,,,,,,,,,,,1,2,6,2,1,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,1.034485,,,,,,,,,,,,,,,,,,,,,,1,3,7,0,1,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,1.13361,,,,,,,,,,,,,,,,,,,,,,2,0,8,0,1,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,0,1.088265,,,,,,,,,,,,,,,,,,,,,,2,1,9,1,1,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,1,1.355015,,,,,,,,,,,,,,,,,,,,,,2,2,10,2,1,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,0,1.291255,,,,,,,,,,,,,,,,,,,,,,2,3,11,3,1,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,0,1.05019,,,,,,,,,,,,,,,,,,,,,,3,0,12,3,1,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,0,1.16872,,,,,,,,,,,,,,,,,,,,,,3,1,13,1,1,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,0.971765,,,,,,,,,,,,,,,,,,,,,,3,2,14,0,1,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,1,1.203495,,,,,,,,,,,,,,,,,,,,,,3,3,15,2,1,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,0,2.964085,,,,,,,,,,,,,,,,,,,,,,4,0,16,1,1,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,1,0.993615,,,,,,,,,,,,,,,,,,,,,,4,1,17,2,1,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,1.120095,,,,,,,,,,,,,,,,,,,,,,4,2,18,0,1,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,j,0,1.401475,,,,,,,,,,,,,,,,,,,,,,4,3,19,3,1,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,0,1.297425,,,,,,,,,,,,,,,,,,,,,,5,0,20,1,1,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,f,1,1.03397,,,,,,,,,,,,,,,,,,,,,,5,1,21,2,1,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,1.47973,,,,,,,,,,,,,,,,,,,,,,5,2,22,0,1,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,j,0,1.388655,,,,,,,,,,,,,,,,,,,,,,5,3,23,3,1,,,,,
,,,,,,,,,,,,,,,2,5,smallScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,,,f,1,2.332345,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,2,1
,,,,,,,,,,,,,,,2,3,smallHincon,Stimuli/SofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,,,j,1,1.218015,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,1,1,1,1
