X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,prac_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt,fix_resp_2.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fix_respP2_1.rt,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
,,,,,,,,,,,,,,,2,2,largeHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,1.307045,,,,,,,,,,,,,,,,,0,space,4,1,17,0,1,0.284375,,,,,,,,,,
,,,,,,,,,,,,,,,2,4,largeHincon,Stimuli/HofS2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,1.76596,,,,,,,,,,,,,,,,,0,space,4,2,18,1,1,0.33387,,,,,,,,,,
,,,,,,,,,,,,,,,2,6,largeScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,1.638,,,,,,,,,,,,,,,,,1,space,4,3,19,2,1,0.30122,,,,,,,,,,
,,,,,,,,,,,,,,,2,4,largeHincon,Stimuli/HofS2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,1.697725,,,,,,,,,,,,,,,,,0,space,5,0,20,1,1,0.29952,,,,,,,,,,
,,,,,,,,,,,,,,,2,6,largeScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,1.379245,,,,,,,,,,,,,,,,,1,space,5,1,21,2,1,0.328225,,,,,,,,,,
,,,,,,,,,,,,,,,2,8,largeSincon,Stimuli/SofH2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,2.07395,,,,,,,,,,,,,,,,,1,space,5,2,22,3,1,0.31399,,,,,,,,,,
,,,,,,,,,,,,,,,2,2,largeHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,2.33048,,,,,,,,,,,,,,,,,0,space,5,3,23,0,1,0.25205,,,,,,,,,,
,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,,j,1,4.997295,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,space,f,0,3.45071,,,,,,,0.312465,,,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,
,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,1,space,f,1,1.53047,,,,,,,0.33456,,,,,,,,,,,,,,,,,,0,2,2,2,1,,,,,
,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,space,j,0,2.13086,,,,,,,0.29394,,,,,,,,,,,,,,,,,,0,3,3,3,1,,,,,
,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,space,f,0,2.48626,,,,,,,0.28148,,,,,,,,,,,,,,,,,,1,0,4,0,1,,,,,
,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,1,space,f,1,2.30172,,,,,,,0.421185,,,,,,,,,,,,,,,,,,1,1,5,2,1,,,,,
,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,space,f,0,2.188845,,,,,,,0.332055,,,,,,,,,,,,,,,,,,1,2,6,1,1,,,,,
,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,space,j,0,2.796615,space,,,,,,0.35806,0.04627,,,,,,,,,,,,,,,,,1,3,7,3,1,,,,,
,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,,j,1,2.59762,,,,,,,,,,,,,,,,,,,,,,,,,2,0,8,0,1,,,,,
,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,,j,0,1.901405,,,,,,,,,,,,,,,,,,,,,,,,,2,1,9,3,1,,,,,
,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,1,space,f,0,1.61576,,,,,,,0.73426,,,,,,,,,,,,,,,,,,2,2,10,1,1,,,,,
