X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp_2.rt,fix_resp1_1.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.964305,,,,,,,,,,,,,,,,0,,5,1,21,0,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,0.94959,,,,,,,,,,,,,,,,0,,5,2,22,2,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,2.4264,,,,,,,,,,,,,,,,0,,5,3,23,3,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.88506,,,,,,,,,,,,,,,,0,,6,0,24,1,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.46433,,,,,,,,,,,,,,,,0,,6,1,25,0,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,0.754035,,,,,,,,,,,,,,,,0,,6,2,26,3,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.052455,,,,,,,,,,,,,,,,0,,6,3,27,2,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,0.731395,,,,,,,,,,,,,,,,0,,7,0,28,3,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.83554,,,,,,,,,,,,,,,,0,,7,1,29,0,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.783845,,,,,,,,,,,,,,,,0,,7,2,30,1,1,
