X Scale,Y Scale,fixpR1,fix_respP1_1.keys,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp_2.keys,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran
,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.bmp,j,left,mb,1,2,2020-10-26_14h04.36.230,global_local,2020.2.4,MacIntel,60,1440,900,0,,j,1,0.696,,2,5,21,2,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.bmp,j,right,mb,1,2,2020-10-26_14h04.36.230,global_local,2020.2.4,MacIntel,60,1440,900,0,,j,1,0.705,,2,6,22,7,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.bmp,j,right,mb,1,2,2020-10-26_14h04.36.230,global_local,2020.2.4,MacIntel,60,1440,900,0,,j,1,0.767,,2,7,23,6,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.bmp,j,left,mb,1,2,2020-10-26_14h04.36.230,global_local,2020.2.4,MacIntel,60,1440,900,0,,j,1,0.742,,3,0,24,3,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.bmp,j,left,mb,1,2,2020-10-26_14h04.36.230,global_local,2020.2.4,MacIntel,60,1440,900,0,,j,1,0.538,,3,1,25,2,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.bmp,j,right,mb,1,2,2020-10-26_14h04.36.230,global_local,2020.2.4,MacIntel,60,1440,900,1,,j,1,0.62,,3,2,26,6,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.bmp,f,right,mb,1,2,2020-10-26_14h04.36.230,global_local,2020.2.4,MacIntel,60,1440,900,0,,f,1,0.919,,3,3,27,5,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.bmp,f,right,mb,1,2,2020-10-26_14h04.36.230,global_local,2020.2.4,MacIntel,60,1440,900,0,,f,1,0.726,,3,4,28,4,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.bmp,f,left,mb,1,2,2020-10-26_14h04.36.230,global_local,2020.2.4,MacIntel,60,1440,900,0,,f,1,0.458,,3,5,29,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.bmp,j,right,mb,1,2,2020-10-26_14h04.36.230,global_local,2020.2.4,MacIntel,60,1440,900,0,,j,1,0.771,,3,6,30,7,1,,,,,,,,,,,,,,
