Block_type,instruction_text
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.
feat_haus,Press S for same or D for different houses. Press <SPACE> to continue.
