X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,prac_fix_resp_fast.rt,prac_resp2.rt,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,fix_resp.rt
,,,,,,,,,,,0,-0.179718871,1,Stimuli/f15.png,Stimuli/eomu.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,1,f,0,3,0,3,0,1,,2.89989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f15.png,Stimuli/f142.png,feat_face,j,1,1.30306,,1,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f15.png,Stimuli/f15.png,feat_face,j,0,1.049295,,1,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,1,Stimuli/f142.png,Stimuli/f142.png,feat_face,f,1,1.6679,,0,2,0,2,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f142.png,Stimuli/f131.png,feat_face,f,0,17.72294,,1,3,0,3,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f24.png,Stimuli/f24.png,feat_face,j,0,2.13387,,1,4,0,4,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f142.png,Stimuli/f24.png,feat_face,f,0,0.967085,,1,5,0,5,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f131.png,Stimuli/f131.png,feat_face,j,0,7.867075,,1,6,0,6,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,1,Stimuli/f24.png,Stimuli/f24.png,feat_face,j,0,3.364655,,0,7,0,7,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f24.png,Stimuli/f142.png,feat_face,f,0,2.013745,,1,8,0,8,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f131.png,Stimuli/f142.png,feat_face,f,0,1.453935,,1,9,0,9,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f15.png,Stimuli/f15.png,feat_face,j,0,1.366895,,1,10,0,10,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,0,Stimuli/f15.png,Stimuli/f24.png,feat_face,j,1,1.36076,,0,11,0,11,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f131.png,Stimuli/f131.png,feat_face,f,1,0.98035,,1,12,0,12,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,0,Stimuli/f131.png,Stimuli/f24.png,feat_face,j,1,2.0829,,0,13,0,13,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f142.png,Stimuli/f142.png,feat_face,f,1,1.44596,,1,14,0,14,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f24.png,Stimuli/f24.png,feat_face,j,0,1.418535,,1,15,0,15,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f142.png,Stimuli/f15.png,feat_face,f,0,2.770655,,1,16,0,16,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f24.png,Stimuli/f131.png,feat_face,j,1,0.98486,,1,17,0,17,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,1,Stimuli/f131.png,Stimuli/f131.png,feat_face,f,1,47.94968,,0,18,0,18,0,1,,,,,,,,
