X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,fix_resp.rt
,,,,,,,,,,,,0,-0.199880756,1,Stimuli/edmd.png,Stimuli/f15.png,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,1,,0,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,30.09772,,1,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/eimd.png,Stimuli/eomu.png,conf_face,f,0,2.58888,,1,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,2.012195,,1,2,0,2,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,f,1,1.42826,,1,3,0,3,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,1,-0.199880756,0,Stimuli/eimd.png,Stimuli/edmd.png,conf_face,j,1,1.4895,,0,4,0,4,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/eomu.png,Stimuli/edmd.png,conf_face,j,1,1.239325,,1,5,0,5,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,1,-0.199880756,0,Stimuli/eumu.png,Stimuli/edmd.png,conf_face,j,1,0.918715,,0,6,0,6,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/eomu.png,Stimuli/eumu.png,conf_face,f,0,1.240225,,1,7,0,7,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/eumu.png,Stimuli/eomu.png,conf_face,f,0,20.29509,,1,8,0,8,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,1.83368,,1,9,0,9,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,1,-0.199880756,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,1.740575,,0,10,0,10,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,j,0,1.468885,,1,11,0,11,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,3.147305,,1,12,0,12,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,1,-0.199880756,0,Stimuli/edmd.png,Stimuli/eimd.png,conf_face,j,1,1.384695,,0,13,0,13,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,f,1,16.955295,,1,14,0,14,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/eimd.png,Stimuli/eumu.png,conf_face,j,1,1.69425,,1,15,0,15,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,1,-0.199880756,0,Stimuli/edmd.png,Stimuli/eumu.png,conf_face,f,0,4.56275,,0,16,0,16,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,j,0,1.355535,,1,17,0,17,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/edmd.png,Stimuli/eomu.png,conf_face,j,1,1.43562,,1,18,0,18,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/eumu.png,Stimuli/eimd.png,conf_face,j,1,1.38923,,1,19,0,19,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,f,1,1.62577,,1,20,0,20,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,1,-0.199880756,0,Stimuli/eomu.png,Stimuli/eimd.png,conf_face,j,1,1.339205,,0,21,0,21,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,j,0,1.70347,,1,22,0,22,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,2.000485,,1,23,0,23,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,conf_face,Designs/instructions_face_1234.png,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LK,1,1,2020-11-29_14h31.10.160,configural_featural,2020.2.4,Win32,60,1368,912,,,,,,,,,,,,,,,,,0,-0.199880756,0,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,conf_haus,f,0,2.566355,,1,0,0,0,0,1,,,,,,,,
