X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,fix_resp.rt
,,,,,,,,,,,,0,-0.241942619,1,Stimuli/H-8sim2.png,Stimuli/H7sim0.png,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,1,j,1,1.184,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,j,0,1.391,,1,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,0,Stimuli/edmd.png,Stimuli/eomu.png,conf_face,j,1,1.577,,1,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,0,Stimuli/eimd.png,Stimuli/edmd.png,conf_face,j,1,2.399,,1,2,0,2,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,1,-0.241942619,1,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,f,1,0.932,,0,3,0,3,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,1.058,,1,4,0,4,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,0,Stimuli/eomu.png,Stimuli/eumu.png,conf_face,j,1,1.354,,1,5,0,5,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,0,Stimuli/eumu.png,Stimuli/eimd.png,conf_face,j,1,0.991,,1,6,0,6,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,1,-0.241942619,1,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,1.307,,0,7,0,7,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,0,-0.241942619,0,Stimuli/eimd.png,Stimuli/eomu.png,conf_face,f,0,1.487,,1,8,0,8,0,1,,,,,,,,
