X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/f131.png,Stimuli/f131.png,,,,f,1,0.908455,,6,0,6,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/f24.png,Stimuli/f24.png,,,,f,1,3.908855,,7,0,7,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/f131.png,Stimuli/f131.png,,,,f,1,2.70624,,8,0,8,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/f131.png,Stimuli/f24.png,,,,j,1,1.049645,,9,0,9,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,1,0.19509888,0,Stimuli/f15.png,Stimuli/f131.png,,,,j,1,1.86628,space,10,0,10,0,1,0.32478,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f142.png,Stimuli/f15.png,,,,j,1,1.23986,,11,0,11,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f15.png,Stimuli/f142.png,,,,j,1,2.207715,,12,0,12,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/f15.png,Stimuli/f15.png,,,,f,1,0.932235,,13,0,13,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,1,-0.19509888,0,Stimuli/f24.png,Stimuli/f131.png,,,,j,1,1.791055,space,14,0,14,0,1,0.192535,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/f24.png,Stimuli/f24.png,,,,f,1,1.309525,,15,0,15,0,1,,,,,,,feat_face,
