X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/eumu.png,Stimuli/edmd.png,,,,f,0,0.498735,,6,0,6,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/eimd.png,Stimuli/eumu.png,,,,f,0,0.577075,,7,0,7,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,1,-0.10446784,0,Stimuli/eimd.png,Stimuli/edmd.png,,,,f,0,1.47449,space,8,0,8,0,1,0.753425,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,f,1,0.47499,,9,0,9,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,1,-0.10446784,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,f,1,2.243515,space,10,0,10,0,1,1.066905,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,f,1,0.64546,,11,0,11,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,1,0.10446784,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,f,1,3.846155,space,12,0,12,0,1,1.261565,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/edmd.png,Stimuli/eomu.png,,,,j,1,0.731685,,13,0,13,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/eomu.png,Stimuli/eimd.png,,,,f,0,0.83642,,14,0,14,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/eimd.png,Stimuli/edmd.png,,,,j,1,0.83659,,15,0,15,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,f,1,0.80578,,16,0,16,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,f,1,0.56623,,17,0,17,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,0,1.00927,,18,0,18,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/eumu.png,Stimuli/eimd.png,,,,j,1,1.18664,,19,0,19,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,0,0.637755,,20,0,20,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,1,-0.10446784,0,Stimuli/eumu.png,Stimuli/eimd.png,,,,f,0,0.637655,space,21,0,21,0,1,0.365205,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/eumu.png,Stimuli/eomu.png,,,,f,0,1.2694,,22,0,22,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,f,1,0.620745,,23,0,23,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/edmd.png,Stimuli/eomu.png,,,,f,0,0.69907,,24,0,24,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/eimd.png,Stimuli/eomu.png,,,,j,1,0.700865,,25,0,25,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,0,0.77758,,26,0,26,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,0,0.821175,,27,0,27,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,f,1,0.63097,,28,0,28,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/eomu.png,Stimuli/eumu.png,,,,j,1,0.66497,,29,0,29,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,1,-0.10446784,0,Stimuli/eomu.png,Stimuli/eimd.png,,,,f,0,0.71711,space,30,0,30,0,1,0.41354,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,f,1,1.233935,,31,0,31,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/eomu.png,Stimuli/edmd.png,,,,j,1,1.13118,,32,0,32,0,1,,,,,,,conf_face,,
