X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_resp2.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fix_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,0,Stimuli/H-8sim0.png,Stimuli/H-8sim1.png,conf_haus,j,1,3.36973,,1,18,0,18,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,0,Stimuli/H-8sim2.png,Stimuli/H-8sim3.png,conf_haus,f,0,17.11607,,1,19,0,19,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,0,Stimuli/H-8sim0.png,Stimuli/H-8sim3.png,conf_haus,j,1,2.739175,,1,20,0,20,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,1,-0.221780734,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,conf_haus,f,1,1.46661,,0,21,0,21,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,conf_haus,j,0,6.26546,,1,22,0,22,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,conf_haus,f,1,3.931495,,1,23,0,23,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,conf_haus,Designs/instructions_haus_1234.png
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,0,Stimuli/eomu.png,Stimuli/eumu.png,conf_face,f,0,5.943755,,1,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,f,1,2.824825,,1,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,1,-0.221780734,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,j,0,1.872225,space,1,2,0,2,0,1,0.78554,,,,,,,
