X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,prac_resp2.rt,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fix_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/eumu.png,Stimuli/eumu.png,j,0,1.09212,,8,0,8,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/eimd.png,Stimuli/eumu.png,f,0,2.41234,,9,0,9,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/eimd.png,Stimuli/eimd.png,j,0,2.4827,,10,0,10,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/edmd.png,Stimuli/edmd.png,f,1,1.97952,,11,0,11,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/edmd.png,Stimuli/eimd.png,f,0,2.86144,,12,0,12,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,1,-0.1833376,1,Stimuli/eumu.png,Stimuli/eumu.png,j,0,2.38013,space,13,0,13,0,1,0.00085,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/eomu.png,Stimuli/eomu.png,f,1,2.8756,,14,0,14,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,0,Stimuli/eomu.png,Stimuli/eimd.png,f,0,2.37367,,15,0,15,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,1,-0.1833376,0,Stimuli/eumu.png,Stimuli/eimd.png,j,1,1.981645,,16,0,16,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/eomu.png,Stimuli/eomu.png,f,1,1.40298,,17,0,17,0,1,,,,,,,conf_face,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/eimd.png,Stimuli/eimd.png,j,0,2.992075,,18,0,18,0,1,,,,,,,conf_face,
