Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_6.rt,key_resp_5.rt,allDone.started,allDone.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,114.66648840799462,114.86923278600443,114.66648840799462,None,114.93855002499186,115.15441884496249,114.93855002499186,None,j,1,1.0111493470612913,115.11942043097224,None,space,1,115.11942043097224,None,119.11950423603412,None,119.11950423603412,None,1.2656591839622706,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0,Stimuli/dory1.png,Stimuli/dory1.png,121.16628259804565,121.36932496493682,121.16628259804565,None,121.4665734389564,121.67168317094911,121.4665734389564,None,f,1,0.557413176051341,121.63609819498379,None,None,1,121.63609819498379,None,125.619242382003,None,125.619242382003,None,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,127.63551364501473,127.83617741195485,127.63551364501473,None,127.964063522988,128.1715630480321,127.964063522988,None,j,1,0.6735855320002884,128.1361273980001,None,None,0,128.1361273980001,None,132.13608767604455,None,132.13608767604455,None,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0,Stimuli/dory2.png,Stimuli/dory2.png,134.13621606200468,134.3363146809861,134.13621606200468,None,134.43756876699626,134.636254483019,134.43756876699626,None,f,1,0.9307206179946661,134.62158722197637,None,None,1,134.62158722197637,None,138.61952291498892,None,138.61952291498892,None,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,140.64461233303882,140.85290462803096,140.64461233303882,None,140.9362267779652,141.13640802796,140.9362267779652,None,f,1,1.4043383660027757,141.12170863698702,None,None,1,141.12170863698702,None,145.1192504549399,None,145.1192504549399,None,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,f,1,2.2688560439273715,None,177.80324595898855,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/eumu.png,Stimuli/eomu.png,None,None,None,f,0,0.3758646559435874,None,180.8220572680002,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,j,0,0.65414669807069,None,181.91977904899977,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,f,1,0.5809547350509092,None,183.31981507793535,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0.0,Stimuli/eumu.png,Stimuli/eomu.png,None,None,None,j,1,0.6387568740174174,None,184.61955969093833,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0.0,Stimuli/edmd.png,Stimuli/eumu.png,None,None,None,j,1,0.4471197269158438,None,185.98656310199294,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/eimd.png,Stimuli/edmd.png,None,None,None,j,1,0.8100532330572605,None,187.15342460898682,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
