target,probe,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_instructions.started,start_instructions.stopped,target_image.started,target_image.stopped,probe_image.started,probe_image.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ISI.started,ISI.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f142.tif,s,0,0,0,1,10.382226851012092,None,12.382533383002738,12.876605835015653,12.898461042990675,13.101537108013872,s,1,0.7856557909981348,13.053232145000948,None,0.20606191334081814,0.5060619133408182,m,001,2020_Sep_20_2129,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f24.tif,stimuli/Featural_Set/f24.tif,s,0,1,1,6,,,13.886455931002274,14.084605607989943,14.401138373010326,14.601318941015052,d,0,0.4130247480061371,14.567978202016093,None,0.21117316966410726,0.5111731696641073,m,001,2020_Sep_20_2129,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f24.tif,stimuli/Featural_Set/f15.tif,d,0,2,2,3,,,15.001215160009451,15.203362666012254,15.531750813999679,15.73464627400972,s,0,0.4117958639981225,15.685919543000637,None,0.20040488865925,0.50040488865925,m,001,2020_Sep_20_2129,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f15.tif,d,0,3,3,4,,,16.11792963699554,16.318083716003457,16.63422412899672,16.83457192601054,d,1,0.451020153996069,16.801341393002076,None,0.20622571866260841,0.5062257186626085,m,001,2020_Sep_20_2129,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f131.tif,s,0,4,4,8,,,17.267855453013908,17.469796551013133,17.79840078300913,18.001309417013545,d,0,0.7468844719987828,17.952996709005674,None,0.20245321965194307,0.5024532196519431,m,001,2020_Sep_20_2129,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f15.tif,d,0,5,5,7,,,18.71706525699119,18.91838635801105,19.2346437459928,19.436615026992513,s,0,0.6262157849851064,19.401555064017884,None,0.20551036766846664,0.5055103676684667,m,001,2020_Sep_20_2129,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f24.tif,d,0,6,6,5,,,20.051398467010586,20.251703698013443,20.5678909010021,20.769899840001017,s,0,1.267592865973711,20.73654026701115,None,0.20310952968429774,0.5031095296842978,m,001,2020_Sep_20_2129,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f24.tif,d,0,7,7,2,,,22.0344294969982,22.234942697017686,22.551228860014817,22.751531396002974,d,1,1.4243718960206024,22.719959456997458,None,0.20109158867853694,0.501091588678537,m,001,2020_Sep_20_2129,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f131.tif,d,0,8,8,9,,,24.167755427013617,24.36831123099546,24.684604704001686,24.884983497991925,d,1,0.5451210899918806,24.85168104301556,None,0.20050074066966772,0.5005007406696678,m,001,2020_Sep_20_2129,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f15.tif,stimuli/Featural_Set/f15.tif,s,0,9,9,0,,,25.418146083015017,25.6184227289923,25.934694341995055,26.134974757995224,s,1,0.6457943580171559,26.101672165998025,None,0.20616589265409857,0.5061658926540986,m,001,2020_Sep_20_2129,configural_featural,2020.2.4,None,
