trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
16,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,36.971164502960164,37.1736322529614,0.20519123965641484,0.5051912396564149,37.4876916979556,37.689765905961394,s,0,0.46705666498746723,37.656924869981594,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
17,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,38.15427856997121,38.354670013999566,0.2023556776694022,0.5023556776694023,38.67120853997767,38.87299410399282,d,0,0.478253384004347,38.839816513005644,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
18,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,39.33785980299581,39.539799730991945,0.20278347859857604,0.5027834785985761,39.86704582697712,40.073789999005385,s,0,0.38190184702398255,40.02355689299293,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
19,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,40.42120180098573,40.62294549494982,0.20336525066522881,0.5033652506652289,40.95041534700431,41.15626924397657,s,0,0.6040694820112549,41.10651632299414,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
20,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,41.73783427197486,41.940718757978175,0.205664953624364,0.505664953624364,42.25444147497183,42.45620285597397,s,0,0.5069549580221064,42.42394806095399,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
21,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,42.95466720499098,43.15473428298719,0.20614010869758204,0.5061401086975821,43.47128252295079,43.67289345397148,d,0,0.3803432629792951,43.63983352197101,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
22,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,44.03790738299722,44.239792665001005,0.2020524746621959,0.5020524746621959,44.56678229098907,44.77318469499005,s,0,0.6003480540239252,44.72284827695694,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
23,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,45.35462082194863,45.556265052000526,0.20428123569581658,0.5042812356958166,45.88364369398914,46.089626078959554,s,0,0.46624668897129595,46.037882733973674,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,d,0,1.308815202966798,48.27392873697681,None,46.52116991899675,None,space,1.0199795220396481,46.52116991899675,None,47.587915335956495,47.78821381198941,48.116248057980556,48.3213865669677,0.21144121728138998,0.51144121728139,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,s,0,0.7549780699773692,50.30495357798645,None,,,,,,,49.60470130899921,49.80634792998899,50.137755878968164,50.33857290999731,0.21228216669987887,0.5122821666998789,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
2,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,d,0,0.5073805099818856,51.771568966971245,None,,,,,,,51.08790591999423,51.28971396898851,51.61675034096697,51.82321985298768,0.2027309606783092,0.5027309606783092,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
3,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,d,0,0.6704919210169464,52.9901239000028,None,,,,,,,52.30458573199576,52.5064436699613,52.83366715500597,53.03817711095326,0.20695726160192862,0.5069572616019287,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
4,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,s,0,0.5902898500207812,54.373138158000074,None,,,,,,,53.68798530398635,53.88797031500144,54.20457512297435,54.40643466700567,0.20359013468259946,0.5035901346825995,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
5,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,s,0,2.0644815930281766,55.67318311397685,None,,,,,,,54.98816917196382,55.189837383979466,55.51712337997742,55.72359508898808,0.20762724668020383,0.5076272466802039,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
