trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
16,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,35.12465379101923,35.32642703602323,0.2036830157157965,0.5036830157157965,35.654696409008466,35.859898235998116,d,0,1.422927338979207,35.80822096799966,None,,,,,,,,,,,,,,,,,,,check,001,2020_Sep_24_0203,config_feat_task,2020.2.4,None,
17,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,37.257585625047795,37.45977147604572,0.19948665867559612,0.4994866586755961,37.78791492403252,37.993272665014956,d,0,0.4820280679850839,37.94305931101553,None,,,,,,,,,,,,,,,,,,,check,001,2020_Sep_24_0203,config_feat_task,2020.2.4,None,
18,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,38.47642882500077,38.674817447026726,0.21413725864840671,0.5141372586484068,38.99100380099844,39.19140421401244,d,0,0.6148285300005227,39.158030629041605,None,,,,,,,,,,,,,,,,,,,check,001,2020_Sep_24_0203,config_feat_task,2020.2.4,None,
19,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,39.791165158036165,39.99140401202021,0.2047235246282071,0.5047235246282071,40.30752545403084,40.50804795703152,d,0,0.7906405789544806,40.474822040006984,None,,,,,,,,,,,,,,,,,,,check,001,2020_Sep_24_0203,config_feat_task,2020.2.4,None,
20,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,41.29121064802166,41.49308679503156,0.20199317566584796,0.501993175665848,41.821322987030726,42.0249759349972,d,0,0.44109486299566925,41.97646925301524,None,,,,,,,,,,,,,,,,,,,check,001,2020_Sep_24_0203,config_feat_task,2020.2.4,None,
21,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,42.441394816036336,42.641610707039945,0.20258332265075296,0.502583322650753,42.95777038502274,43.15827275702031,s,0,0.39820570999290794,43.12483467301354,None,,,,,,,,,,,,,,,,,,,check,001,2020_Sep_24_0203,config_feat_task,2020.2.4,None,
22,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,43.541228712012526,43.741604965995066,0.20452136162202805,0.5045213616220281,44.05781033000676,44.2582786870189,s,0,0.33477446797769517,44.22495457303012,None,,,,,,,,,,,,,,,,,,,check,001,2020_Sep_24_0203,config_feat_task,2020.2.4,None,
23,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,44.59151571703842,44.791558133030776,0.19942332874052227,0.49942332874052225,45.10784912202507,45.308187999995425,s,0,0.17338439403101802,45.274920612049755,None,,,,,,,,,,,,,,,,,,,check,001,2020_Sep_24_0203,config_feat_task,2020.2.4,None,
0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,s,0,0.22048458200879395,47.77487371704774,None,45.47483048104914,None,space,1.5735005179885775,45.47483048104914,None,47.0914244580199,47.29137156199431,47.60755159199471,47.808028059022035,0.21479495335370302,0.5147949533537031,,,,,,,check,001,2020_Sep_24_0203,config_feat_task,2020.2.4,None,
1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,s,0,0.20869684097124264,48.70802467002068,None,,,,,,,48.02457090502139,48.226502096047625,48.55440699501196,48.75970853201579,0.20217362063704059,0.5021736206370406,,,,,,,check,001,2020_Sep_24_0203,config_feat_task,2020.2.4,None,
