target,probe,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_instructions.started,start_instructions.stopped,target_image.started,target_image.stopped,probe_image.started,probe_image.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ISI.started,ISI.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f142.tif,s,0,0,0,1,16.853226963983616,None,19.961727480986156,20.161619373975554,20.508606954972493,20.713477921992308,s,1,1.0911346059874631,20.661678795993794,None,0.7098193876736332,1.0098193876736332,m,001,2020_Sep_21_1225,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f15.tif,stimuli/Featural_Set/f15.tif,s,0,1,1,0,,,22.278377519978676,22.478286025987472,22.82525126999826,23.028402743977495,s,1,0.327224937005667,22.980073026992613,None,0.7031658456544392,1.0031658456544392,m,001,2020_Sep_21_1225,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f24.tif,stimuli/Featural_Set/f24.tif,s,0,2,2,6,,,23.828369586000917,24.028494248981588,24.375212108978303,24.578495170979295,s,1,0.4900308359938208,24.530019659985555,None,0.7075472416472621,1.0075472416472622,m,001,2020_Sep_21_1225,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f131.tif,d,0,3,3,9,,,25.54520049598068,25.74676262997673,26.07805517897941,26.278440747992136,d,1,0.6083325169747695,26.24509297098848,None,0.7098828196758404,1.0098828196758405,m,001,2020_Sep_21_1225,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f15.tif,d,0,4,4,4,,,27.361875734990463,27.56170003398438,27.908579127979465,28.111857390991645,s,0,0.6066426379838958,28.06346510097501,None,0.7024084866861813,1.0024084866861813,m,001,2020_Sep_21_1225,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f131.tif,s,0,5,5,8,,,29.17851562600117,29.37853159898077,29.72530769498553,29.92845467699226,d,0,0.4720558740082197,29.88004803698277,None,0.7045821416832041,1.0045821416832041,m,001,2020_Sep_21_1225,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f131.tif,stimuli/Featural_Set/f24.tif,d,0,6,6,2,,,30.863507646979997,31.078549176978413,31.394807703996776,31.596840866986895,d,1,1.3699075859913137,31.563432151975576,None,0.7048914926417638,1.0048914926417638,m,001,2020_Sep_21_1225,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f24.tif,d,0,7,7,5,,,33.461749965994386,33.661772092978936,33.97795356399729,34.17858092699316,d,1,0.4942871980019845,34.14516620300128,None,0.6996685336634982,0.9996685336634983,m,001,2020_Sep_21_1225,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f142.tif,stimuli/Featural_Set/f15.tif,d,0,8,8,7,,,35.146800271992106,35.361839193996275,35.67797920698649,35.87851736499579,d,1,0.4299355090188328,35.845290917990496,None,0.7067807246639859,1.006780724663986,m,001,2020_Sep_21_1225,configural_featural,2020.2.4,None,
stimuli/Featural_Set/f24.tif,stimuli/Featural_Set/f15.tif,d,0,9,9,3,,,36.7802644239855,36.99515487998724,37.311451916000806,37.511075530987,d,1,0.4988423270115163,37.47837800899288,None,0.7067217406292912,1.0067217406292912,m,001,2020_Sep_21_1225,configural_featural,2020.2.4,None,
