trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,target_image4.started,target_image4.stopped,probe_image4.started,probe_image4.stopped,ISI_4.started,ISI_4.stopped,key_resp4.keys,key_resp4.corr,key_resp4.rt,key_resp4.started,key_resp4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.79860467900289,50.000266180955805,50.32837363897124,50.531911475001834,0.2054644186864607,0.5054644186864607,s,0,0.41577182995388284,50.483846691960935,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
2,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93189089297084,51.132341428950895,51.448042223986704,51.65066726697842,0.20033038762630895,0.500330387626309,s,0,0.1923950809868984,51.63233679399127,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
3,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.86566189600853,52.0674235689803,52.39512774400646,52.599021785950754,0.2004230247111991,0.5004230247111991,s,0,0.15203820599708706,52.550850615953095,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
4,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.748662589991,52.95091735897586,53.27914779697312,53.482374020968564,0.21237018529791385,0.5123701852979139,s,0,0.3913120389916003,53.43384197197156,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
5,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.867445146956015,54.06565447099274,54.38174040598096,54.58237872598693,0.21408771065762267,0.5140877106576227,d,0,0.09110948099987581,54.54898853698978,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
6,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.66559867397882,54.86693881097017,55.19489621196408,55.39868798898533,0.20066583261359483,0.5006658326135949,d,0,0.13558977999491617,55.35080208798172,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
7,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.51515642000595,55.71711884398246,56.04868804500438,None,0.21667765564052388,0.5166776556405239,d,0,0.021655315009411424,56.199181133008096,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
8,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.24829873396084,56.4489868870005,56.76526359998388,56.965635627973825,0.20005675667198375,0.5000567566719838,s,0,0.09525073698023334,56.931994107959326,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
9,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.048927833966445,57.25060403300449,57.5785423250054,57.78392661095131,0.20952354569453746,0.5095235456945375,d,0,0.40023430401925,57.73240161896683,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
10,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.14851849997649,58.350849138980266,58.67746700596763,58.884196323982906,0.19942255766363814,0.49942255766363813,d,0,2.038686661981046,58.83155855699442,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
