26.6777 	EXP 	target_image1: autoDraw = False
26.6778 	EXP 	window1: recordFrameIntervals = True
26.9938 	EXP 	probe_image1: autoDraw = True
27.1936 	EXP 	probe_image1: autoDraw = False
27.7127 	EXP 	New trial (rep=0, index=7): OrderedDict([('trialNum', 7)])
27.7202 	DATA 	Keypress: s
27.7273 	EXP 	target_image1: autoDraw = False
27.7273 	EXP 	probe_image1: autoDraw = False
27.7273 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f15.tif'
27.7273 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f15.tif'
27.7273 	EXP 	target_image1: autoDraw = True
27.9126 	EXP 	window1: recordFrameIntervals = False
27.9277 	EXP 	target_image1: autoDraw = False
27.9279 	EXP 	window1: recordFrameIntervals = True
28.2434 	EXP 	probe_image1: autoDraw = True
28.4461 	EXP 	probe_image1: autoDraw = False
28.7306 	EXP 	New trial (rep=0, index=8): OrderedDict([('trialNum', 8)])
28.7385 	DATA 	Keypress: s
28.7437 	EXP 	target_image1: autoDraw = False
28.7437 	EXP 	probe_image1: autoDraw = False
28.7437 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f131.tif'
28.7437 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f131.tif'
28.7437 	EXP 	target_image1: autoDraw = True
28.9294 	EXP 	window1: recordFrameIntervals = False
28.9444 	EXP 	target_image1: autoDraw = False
28.9445 	EXP 	window1: recordFrameIntervals = True
29.2606 	EXP 	probe_image1: autoDraw = True
29.4611 	EXP 	probe_image1: autoDraw = False
29.9958 	EXP 	New trial (rep=0, index=9): OrderedDict([('trialNum', 9)])
30.0039 	DATA 	Keypress: s
30.0110 	EXP 	target_image1: autoDraw = False
30.0110 	EXP 	probe_image1: autoDraw = False
30.0110 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f24.tif'
30.0110 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f24.tif'
30.0110 	EXP 	target_image1: autoDraw = True
30.1944 	EXP 	window1: recordFrameIntervals = False
30.2135 	EXP 	target_image1: autoDraw = False
30.2137 	EXP 	window1: recordFrameIntervals = True
30.5415 	EXP 	probe_image1: autoDraw = True
30.7444 	EXP 	probe_image1: autoDraw = False
31.2315 	EXP 	New trial (rep=0, index=10): OrderedDict([('trialNum', 10)])
31.2397 	DATA 	Keypress: s
31.2440 	EXP 	target_image1: autoDraw = False
31.2440 	EXP 	probe_image1: autoDraw = False
31.2440 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f24.tif'
31.2440 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f131.tif'
31.2440 	EXP 	target_image1: autoDraw = True
31.4296 	EXP 	window1: recordFrameIntervals = False
31.4443 	EXP 	target_image1: autoDraw = False
31.4445 	EXP 	window1: recordFrameIntervals = True
31.7606 	EXP 	probe_image1: autoDraw = True
31.9609 	EXP 	probe_image1: autoDraw = False
32.3949 	EXP 	New trial (rep=0, index=11): OrderedDict([('trialNum', 11)])
32.4022 	DATA 	Keypress: d
32.4110 	EXP 	target_image1: autoDraw = False
32.4110 	EXP 	probe_image1: autoDraw = False
32.4110 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f15.tif'
32.4110 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f15.tif'
32.4110 	EXP 	target_image1: autoDraw = True
32.5943 	EXP 	window1: recordFrameIntervals = False
